                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1141,                 2.8158,                 1.1807,                0.43076,                0.58093,                0.54058,                0.41453,                0.87512,                 2.1996,                 1.0786,              8.888e-05,              8.888e-05,              8.888e-05
                      2,                0.94146,                 1.8508,                 1.0714,                0.71109,                0.58833,                0.59681,                0.46607,                0.86891,                 2.5785,                 1.0675,             0.00018513,             0.00018513,             0.00018513
                      3,                0.89635,                 1.5842,                 1.0079,                0.75424,                0.45277,                0.54837,                0.40981,                0.94652,                 2.0671,                 1.1463,             0.00027742,             0.00027742,             0.00027742
                      4,                 0.8317,                 1.2906,                0.99612,                0.49623,                0.73154,                0.64794,                0.40506,                 1.0448,                 2.6936,                 1.1985,             0.00036575,             0.00036575,             0.00036575
                      5,                0.95968,                 1.3661,                 1.0853,                0.86533,                0.44748,                0.63543,                0.42416,                 1.0909,                 1.9683,                 1.2284,             0.00045012,             0.00045012,             0.00045012
                      6,                 0.9034,                 1.6008,                 1.0797,                0.65601,                0.43697,                0.57409,                0.37735,                 1.1666,                 2.3889,                 1.2846,             0.00053054,             0.00053054,             0.00053054
                      7,                0.93295,                 1.4878,                 1.0751,                0.64065,                0.44418,                0.55768,                0.36139,                 1.2574,                 2.1827,                 1.3918,             0.00060699,             0.00060699,             0.00060699
                      8,                0.94886,                  1.409,                 1.0693,                0.90447,                 0.2772,                0.46124,                0.32743,                 1.3377,                 2.4077,                 1.4077,             0.00067948,             0.00067948,             0.00067948
                      9,                0.91057,                 1.3232,                 1.0595,                 0.7027,                0.41833,                0.51152,                 0.3476,                 1.2946,                 2.2923,                 1.3447,             0.00074801,             0.00074801,             0.00074801
                     10,                0.94863,                 1.2999,                 1.0862,                0.66781,                0.49338,                0.49281,                0.32302,                 1.3186,                 2.1367,                  1.378,             0.00081259,             0.00081259,             0.00081259
                     11,                 1.0021,                 1.4577,                  1.127,                0.79132,                0.40578,                0.46056,                0.29198,                 1.3011,                 2.2836,                  1.378,              0.0008732,              0.0008732,              0.0008732
